City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
418,fort mcmurray,56.7268,-111.381,299.92,21,0,7.72,CA,1686177006
419,benghazi,32.1167,20.0667,294.85,82,57,7.88,LY,1686177198
420,touros,-5.1989,-35.4608,298.91,84,6,5.55,BR,1686177198
421,mebane,36.096,-79.267,291.97,92,20,2.06,US,1686177199
422,lathi,21.7167,71.3833,301.26,72,0,5.74,IN,1686177199
423,amga,60.8953,131.9608,291.29,59,74,1.93,RU,1686177199
424,santa ana de yacuma,-13.75,-65.4333,303.12,70,75,0.0,BO,1686177200
425,copiapo,-27.3667,-70.3333,286.98,75,16,2.22,CL,1686177042
426,belmonte,-15.8631,-38.8828,296.18,77,5,3.86,BR,1686177200
427,port hedland,-20.3167,118.5667,288.18,55,6,2.57,AU,1686177200
428,lethem,3.3803,-59.7968,298.69,85,35,3.58,GY,1686177200
429,yeniseysk,58.4497,92.1703,292.3,77,65,2.17,RU,1686177201
430,trochtelfingen,48.3084,9.2449,289.04,68,21,0.49,DE,1686177201
431,severo-yeniseyskiy,60.3725,93.0408,292.01,74,78,1.63,RU,1686177201
432,ubinskoye,55.3068,79.6802,291.14,65,69,2.63,RU,1686177201
433,sampit,-2.5333,112.95,296.09,98,100,1.17,ID,1686177202
434,zhezkent,50.9311,81.3615,294.18,48,27,5.48,KZ,1686177202
435,armacao de buzios,-22.7469,-41.8817,290.18,81,0,2.44,BR,1686177202
436,saiha,22.4833,92.9667,294.96,92,100,1.02,IN,1686177202
437,sulejow,51.3544,19.8854,287.14,95,18,2.46,PL,1686177202
438,illapel,-31.6308,-71.1653,290.88,59,87,0.24,CL,1686177203
439,saldanha,-33.0117,17.9442,287.18,86,91,10.86,ZA,1686177203
440,amahai,-3.3333,128.9167,299.09,85,97,1.22,ID,1686177203
441,jingdezhen,29.2947,117.2079,296.7,93,92,0.22,CN,1686177203
442,arish,31.1316,33.7984,295.99,76,76,2.96,EG,1686177204
443,port augusta,-32.5,137.7667,284.79,54,16,5.07,AU,1686177204
444,laiwu,36.1928,117.6569,297.05,60,31,1.23,CN,1686177204
445,beaufort west,-32.3567,22.583,284.81,71,1,6.93,ZA,1686177204
446,papao,-17.75,-149.55,301.97,70,64,9.83,PF,1686177204
447,stanley,54.868,-1.6985,283.09,80,75,2.06,GB,1686177204
448,ottawa,45.4112,-75.6981,289.39,53,100,4.63,CA,1686176529
449,santa elena de uairen,4.6167,-61.1333,293.72,91,40,1.71,VE,1686177205
450,colonia,50.9333,6.95,291.94,83,50,1.03,DE,1686176939
451,khandyga,62.6667,135.6,290.78,59,100,2.18,RU,1686177205
452,hami,42.8,93.45,300.41,15,2,1.01,CN,1686177205
453,bandarbeyla,9.4942,50.8122,299.66,83,100,11.13,SO,1686177206
454,peseux,46.987,6.889,288.69,72,38,1.54,CH,1686177206
455,sitka,57.0531,-135.33,289.09,63,75,2.57,US,1686176947
456,chuncheon,37.8747,127.7342,292.12,73,100,1.4,KR,1686177206
457,gaogou,34.0175,119.1886,297.95,51,64,4.68,CN,1686177206
458,senanga,-16.1167,23.2667,292.28,36,70,1.77,ZM,1686177206
459,shalkar,47.8288,59.6258,292.37,44,68,5.85,KZ,1686177207
460,along,28.1667,94.7667,295.98,79,44,0.58,IN,1686177207
461,el porvenir,13.7617,-87.3458,303.78,80,96,1.39,HN,1686177207
462,prince rupert,54.3161,-130.3201,293.2,57,0,5.14,CA,1686177010
463,san luis de la loma,17.2706,-100.8939,303.73,56,31,2.92,MX,1686177207
464,kampong cham,11.9934,105.4635,298.47,83,100,2.73,KH,1686177208
465,bol,13.4586,14.7147,301.62,63,93,0.81,TD,1686177208
466,kalevala,65.2,31.1667,278.82,89,92,1.87,RU,1686177208
467,slupca,52.2873,17.8719,291.04,72,9,2.45,PL,1686177208
468,novyy urgal,51.0736,132.5642,288.5,76,95,2.81,RU,1686177135
469,butha-buthe,-28.8333,28.5,277.83,77,4,1.96,LS,1686177209
470,malpica,43.3228,-8.8105,292.24,81,73,2.09,ES,1686177210
471,weno,7.4515,151.8468,303.12,79,40,1.54,FM,1686177210
472,brezina,33.0989,1.2608,300.72,28,63,7.39,DZ,1686177210
473,tazovsky,67.4667,78.7,279.19,72,63,4.8,RU,1686177210
474,queenstown,-31.8976,26.8753,284.25,25,32,4.48,ZA,1686177210
475,gaspe,48.8334,-64.4819,281.27,100,100,5.14,CA,1686177211
476,koryazhma,61.3143,47.1691,278.09,68,99,1.97,RU,1686177211
477,palmer,42.1584,-72.3287,290.8,66,100,3.6,US,1686177185
478,robertsport,6.7533,-11.3686,299.42,83,100,2.59,LR,1686177211
479,rio grande,-32.035,-52.0986,292.21,92,97,2.64,BR,1686177211
480,copala,16.65,-98.9833,303.68,54,51,3.54,MX,1686177212
481,sussex,41.1834,-74.6663,292.2,47,100,3.09,US,1686177212
482,beypazari,40.1675,31.9211,292.53,63,0,2.12,TR,1686177212
483,north platte,41.1239,-100.7654,302.63,38,0,1.79,US,1686177212
484,mustafabad,30.8922,73.4989,303.9,36,0,2.6,PK,1686177213
